     POSTE      DATE              RR
  69029001  19210301             0.0
  69029001  19210302             0.0
  69029001  19210303             0.0
  69029001  19210304             0.0
  69029001  19210305             0.0
  69029001  19210306             0.0
  69029001  19210307             1.0
  69029001  19210308             0.0
  69029001  19210309             0.0
  69029001  19210310             0.0
  69029001  19210311             0.0
  69029001  19210312             0.0
  69029001  19210313             0.0
  69029001  19210314             0.0
  69029001  19210315             8.0
  69029001  19210316             0.0
  69029001  19210317             0.0
  69029001  19210318             2.0
  69029001  19210319             9.0
  69029001  19210320             6.0
  69029001  19210321             5.0
  69029001  19210322             0.0
  69029001  19210323             0.0
  69029001  19210324             0.0
  69029001  19210325             0.0
  69029001  19210326             2.0
  69029001  19210327             0.0
  69029001  19210328             0.0
  69029001  19210329             0.0
  69029001  19210330             1.0
  69029001  19210331             0.0
  69029001  19210401             0.0
  69029001  19210402             0.0
  69029001  19210403             0.0
  69029001  19210404             0.0
  69029001  19210405             0.0
  69029001  19210406             0.0
  69029001  19210407             0.3
  69029001  19210408             0.0
  69029001  19210409             0.0
  69029001  19210410             0.0
  69029001  19210411             0.0
  69029001  19210412             0.0
  69029001  19210413             0.0
  69029001  19210414             0.0
  69029001  19210415             0.0
  69029001  19210416             0.1
  69029001  19210417             0.7
  69029001  19210418             3.3
  69029001  19210419             0.0
  69029001  19210420             0.0
  69029001  19210421             0.0
  69029001  19210422             0.0
  69029001  19210423             6.3
  69029001  19210424             1.0
  69029001  19210425             0.0
  69029001  19210426             0.0
  69029001  19210427             0.0
  69029001  19210428             0.0
  69029001  19210429             0.0
  69029001  19210430             0.0
  69029001  19210501             0.0
  69029001  19210502             0.3
  69029001  19210503             3.1
  69029001  19210504             3.2
  69029001  19210505             0.1
  69029001  19210506             0.0
  69029001  19210507             0.0
  69029001  19210508            27.0
  69029001  19210509             0.7
  69029001  19210510             0.0
  69029001  19210511             0.0
  69029001  19210512             0.0
  69029001  19210513             0.0
  69029001  19210514             0.0
  69029001  19210515             9.2
  69029001  19210516             0.0
  69029001  19210517             5.0
  69029001  19210518             0.0
  69029001  19210519             6.0
  69029001  19210520             0.0
  69029001  19210521             1.0
  69029001  19210522             2.0
  69029001  19210523             0.0
  69029001  19210524             0.0
  69029001  19210525             0.0
  69029001  19210526             0.0
  69029001  19210527             4.2
  69029001  19210528             6.8
  69029001  19210529             0.0
  69029001  19210530             0.0
  69029001  19210531             0.0
  69029001  19210601             0.0
  69029001  19210602             0.0
  69029001  19210603             0.0
  69029001  19210604             0.0
  69029001  19210605             2.0
  69029001  19210606             0.0
  69029001  19210607            47.0
  69029001  19210608             0.0
  69029001  19210609             0.0
  69029001  19210610             0.0
  69029001  19210611             0.0
  69029001  19210612             0.0
  69029001  19210613             0.0
  69029001  19210614             0.0
  69029001  19210615             0.0
  69029001  19210616             0.0
  69029001  19210617             0.0
  69029001  19210618             0.0
  69029001  19210619             3.0
  69029001  19210620             0.0
  69029001  19210621             0.0
  69029001  19210622             0.0
  69029001  19210623             0.0
  69029001  19210624             0.0
  69029001  19210625             0.0
  69029001  19210626             0.0
  69029001  19210627             0.0
  69029001  19210628             0.0
  69029001  19210629             0.0
  69029001  19210630             3.0
  69029001  19210701             0.0
  69029001  19210702             0.0
  69029001  19210703             0.0
  69029001  19210704             0.0
  69029001  19210705             0.0
  69029001  19210706             0.0
  69029001  19210707             0.0
  69029001  19210708             0.0
  69029001  19210709             0.0
  69029001  19210710             0.0
  69029001  19210711             0.0
  69029001  19210712             0.0
  69029001  19210713             0.0
  69029001  19210714             0.0
  69029001  19210715             0.0
  69029001  19210716             0.0
  69029001  19210717             0.0
  69029001  19210718             0.0
  69029001  19210719             0.0
  69029001  19210720             0.0
  69029001  19210721             0.0
  69029001  19210722             0.0
  69029001  19210723             0.0
  69029001  19210724             0.0
  69029001  19210725             0.0
  69029001  19210726             0.0
  69029001  19210727             0.0
  69029001  19210728             0.3
  69029001  19210729             0.0
  69029001  19210730             0.0
  69029001  19210731             0.0
  69029001  19210801             0.0
  69029001  19210802             0.0
  69029001  19210803             0.0
  69029001  19210804             0.0
  69029001  19210805             0.0
  69029001  19210806             0.0
  69029001  19210807             0.0
  69029001  19210808             0.0
  69029001  19210809             0.0
  69029001  19210810             8.0
  69029001  19210811            18.0
  69029001  19210812             0.0
  69029001  19210813             5.0
  69029001  19210814             0.2
  69029001  19210815             0.5
  69029001  19210816             0.0
  69029001  19210817             0.4
  69029001  19210818             0.0
  69029001  19210819            52.0
  69029001  19210820             1.0
  69029001  19210821             2.0
  69029001  19210822            12.0
  69029001  19210823             0.0
  69029001  19210824             7.0
  69029001  19210825             0.4
  69029001  19210826             0.0
  69029001  19210827             0.0
  69029001  19210828             0.0
  69029001  19210829             0.0
  69029001  19210830             0.0
  69029001  19210831             0.0
  69029001  19210901             0.0
  69029001  19210902             0.0
  69029001  19210903            19.0
  69029001  19210904             9.0
  69029001  19210905             0.0
  69029001  19210906             0.0
  69029001  19210907             0.0
  69029001  19210908             0.0
  69029001  19210909             3.0
  69029001  19210910             0.2
  69029001  19210911             0.7
  69029001  19210912             0.0
  69029001  19210913             0.0
  69029001  19210914             0.0
  69029001  19210915             0.0
  69029001  19210916             0.0
  69029001  19210917             8.0
  69029001  19210918             0.0
  69029001  19210919             0.0
  69029001  19210920             0.0
  69029001  19210921             3.0
  69029001  19210922             0.0
  69029001  19210923             0.0
  69029001  19210924             0.0
  69029001  19210925             0.0
  69029001  19210926             0.0
  69029001  19210927             0.0
  69029001  19210928             0.0
  69029001  19210929             0.0
  69029001  19210930             0.0
  69029001  19211001             0.0
  69029001  19211002             0.0
  69029001  19211003             0.0
  69029001  19211004             0.0
  69029001  19211005             0.0
  69029001  19211006             0.0
  69029001  19211007             0.0
  69029001  19211008             0.0
  69029001  19211009             0.0
  69029001  19211010             0.0
  69029001  19211011             0.0
  69029001  19211012             0.0
  69029001  19211013             0.0
  69029001  19211014             0.0
  69029001  19211015             0.0
  69029001  19211016             0.0
  69029001  19211017             0.0
  69029001  19211018             0.0
  69029001  19211019             0.0
  69029001  19211020             0.0
  69029001  19211021             0.0
  69029001  19211022             3.0
  69029001  19211023             2.0
  69029001  19211024             0.0
  69029001  19211025             0.0
  69029001  19211026             0.0
  69029001  19211027             0.0
  69029001  19211028             0.0
  69029001  19211029             0.0
  69029001  19211030             0.0
  69029001  19211031             0.0
  69029001  19211101             0.0
  69029001  19211102             0.4
  69029001  19211103             3.0
  69029001  19211104             4.0
  69029001  19211105             0.2
  69029001  19211106             3.0
  69029001  19211107             0.0
  69029001  19211108             0.0
  69029001  19211109             0.0
  69029001  19211110             0.0
  69029001  19211111             0.0
  69029001  19211112             0.0
  69029001  19211113             0.0
  69029001  19211114             0.0
  69029001  19211115             0.0
  69029001  19211116             0.0
  69029001  19211117             0.0
  69029001  19211118             0.0
  69029001  19211119             0.0
  69029001  19211120             0.0
  69029001  19211121             0.0
  69029001  19211122             0.0
  69029001  19211123             0.0
  69029001  19211124             0.0
  69029001  19211125             0.0
  69029001  19211126            13.0
  69029001  19211127             3.1
  69029001  19211128             0.0
  69029001  19211129             0.0
  69029001  19211130             0.0
  69029001  19211201             0.4
  69029001  19211202             0.5
  69029001  19211203             0.0
  69029001  19211204             0.0
  69029001  19211205             0.0
  69029001  19211206             0.0
  69029001  19211207             0.0
  69029001  19211208             0.0
  69029001  19211209             0.0
  69029001  19211210             0.0
  69029001  19211211             0.0
  69029001  19211212             0.0
  69029001  19211213             0.0
  69029001  19211214             0.0
  69029001  19211215             0.0
  69029001  19211216             0.0
  69029001  19211217             0.0
  69029001  19211218             0.0
  69029001  19211219             1.3
  69029001  19211220             0.2
  69029001  19211221             0.0
  69029001  19211222             0.0
  69029001  19211223             0.0
  69029001  19211224             0.0
  69029001  19211225             7.3
  69029001  19211226             0.0
  69029001  19211227             3.0
  69029001  19211228             0.0
  69029001  19211229             0.0
  69029001  19211230             1.6
  69029001  19211231             0.3
  69029001  19220101             0.0
  69029001  19220102            11.5
  69029001  19220103             6.2
  69029001  19220104             1.0
  69029001  19220105            13.8
  69029001  19220106             9.4
  69029001  19220107             2.0
  69029001  19220108            16.0
  69029001  19220109             0.0
  69029001  19220110             0.8
  69029001  19220111             0.4
  69029001  19220112             2.6
  69029001  19220113             0.2
  69029001  19220114             0.0
  69029001  19220115             0.8
  69029001  19220116             1.0
  69029001  19220117            21.6
  69029001  19220118             0.0
  69029001  19220119             0.0
  69029001  19220120             3.5
  69029001  19220121             0.0
  69029001  19220122             0.0
  69029001  19220123             0.0
  69029001  19220124             4.0
  69029001  19220125             2.5
  69029001  19220126             0.0
  69029001  19220127             4.4
  69029001  19220128             0.7
  69029001  19220129             1.8
  69029001  19220130            25.3
  69029001  19220131             5.0
  69029001  19220201             1.2
  69029001  19220202             7.9
  69029001  19220203             0.7
  69029001  19220204             0.0
  69029001  19220205             0.0
  69029001  19220206             0.0
  69029001  19220207             0.0
  69029001  19220208             0.0
  69029001  19220209             0.0
  69029001  19220210             0.0
  69029001  19220211             0.0
  69029001  19220212             0.5
  69029001  19220213             1.4
  69029001  19220214             0.0
  69029001  19220215             0.0
  69029001  19220216             7.3
  69029001  19220217             0.0
  69029001  19220218             1.4
  69029001  19220219             0.0
  69029001  19220220             3.9
  69029001  19220221            22.7
  69029001  19220222             0.0
  69029001  19220223             0.2
  69029001  19220224             0.0
  69029001  19220225             0.0
  69029001  19220226             1.0
  69029001  19220227             0.5
  69029001  19220228             0.0
  69029001  19220301             2.1
  69029001  19220302             0.8
  69029001  19220303             0.0
  69029001  19220304             0.0
  69029001  19220305             0.0
  69029001  19220306             0.0
  69029001  19220307             3.8
  69029001  19220308             1.4
  69029001  19220309            35.0
  69029001  19220310             0.0
  69029001  19220311             0.2
  69029001  19220312             0.1
  69029001  19220313             0.0
  69029001  19220314             0.0
  69029001  19220315             0.0
  69029001  19220316             0.0
  69029001  19220317             0.0
  69029001  19220318             0.0
  69029001  19220319             0.2
  69029001  19220320            11.8
  69029001  19220321             5.3
  69029001  19220322             3.2
  69029001  19220323             0.9
  69029001  19220324             0.0
  69029001  19220325             0.0
  69029001  19220326             2.1
  69029001  19220327             1.4
  69029001  19220328             0.4
  69029001  19220329             0.2
  69029001  19220330             0.0
  69029001  19220331             2.4
  69029001  19220401             1.3
  69029001  19220402             3.2
  69029001  19220403             1.5
  69029001  19220404             0.9
  69029001  19220405             0.0
  69029001  19220406             0.0
  69029001  19220407            13.4
  69029001  19220408             5.4
  69029001  19220409             0.9
  69029001  19220410            11.0
  69029001  19220411             2.2
  69029001  19220412             0.0
  69029001  19220413             0.0
  69029001  19220414             0.0
  69029001  19220415            23.9
  69029001  19220416             1.4
  69029001  19220417             3.0
  69029001  19220418             4.9
  69029001  19220419             5.2
  69029001  19220420             0.0
  69029001  19220421             1.1
  69029001  19220422             2.3
  69029001  19220423             0.2
  69029001  19220424             7.0
  69029001  19220425             5.2
  69029001  19220426             1.8
  69029001  19220427             0.0
  69029001  19220428             2.4
  69029001  19220429            14.8
  69029001  19220430             1.4
  69029001  19220501             0.0
  69029001  19220502             9.4
  69029001  19220503             0.5
  69029001  19220504             0.0
  69029001  19220505             0.0
  69029001  19220506             0.0
  69029001  19220507             0.0
  69029001  19220508             0.0
  69029001  19220509             0.0
  69029001  19220510             0.0
  69029001  19220511             1.9
  69029001  19220512             3.2
  69029001  19220513             0.0
  69029001  19220514             0.0
  69029001  19220515             0.0
  69029001  19220516             0.0
  69029001  19220517             1.7
